Data;Classificacao;Descricao;Meio;Valor
01/07/2018;2.2.8 Bebidas;REPO;DINHEIRO;62,16
01/07/2018;2.2.7 Doces;PALETAS;DINHEIRO;55,2
01/07/2018;2.8.1 Ambiente e Manutencao;MATERIAS PARA CONFECcaO ESTAN. CAIXOTES;DINHEIRO;35,6
01/09/2018;2.5 Compra de Jogos;Jogos iniciais 11/12;DINHEIRO;171,13
01/09/2018;2.8.1 Ambiente e Manutencao;FREEZER 6/10;DINHEIRO;80
01/09/2018;2.8.1 Ambiente e Manutencao;CHROMECAST 2/12;DINHEIRO;15
07/09/2018;2.2.8 Bebidas;AGUA;DINHEIRO;11
02/09/2018;2.2.1 Carne;CARNE;DINHEIRO;41,71
02/09/2018;2.2 Reposicao Estoque;REPO;DINHEIRO;81,7
02/09/2018;2.2.8 Bebidas;REPO;DINHEIRO;71,88
02/09/2018;2.3.4 Outros Descartaveis;REPO;DINHEIRO;11,68
05/09/2018;2.2.2 Pao;PaES;DINHEIRO;8
06/09/2018;2.2.2 Pao;PaES;DINHEIRO;16
06/09/2018;2.2 Reposicao Estoque;REPO;DINHEIRO;151,85
06/09/2018;2.2.8 Bebidas;REPO;DINHEIRO;61,02
06/09/2018;2.3.4 Outros Descartaveis;REPO;DINHEIRO;2,55
06/09/2018;2.2 Reposicao Estoque;REPO;DINHEIRO;15,98
06/09/2018;2.4.2 Diaria Funcionarios;DIARIA JAQUELINE;DINHEIRO;50
07/09/2018;2.2.7 Doces;SORVETES;DINHEIRO;36,8
07/09/2018;2.2.8 Bebidas;REPO;DINHEIRO;21,54
07/09/2018;2.2 Reposicao Estoque;REPO;DINHEIRO;28,9
07/09/2018;2.2.8 Bebidas;REPO;DINHEIRO;63,03
08/09/2018;2.2 Reposicao Estoque;REPO;DINHEIRO;62,76
08/09/2018;2.2.8 Bebidas;REPO;DINHEIRO;83,91
08/09/2018;2.2.1 Carne;CARNE;DINHEIRO;34,98
08/09/2018;2.2.2 Pao;PaES;DINHEIRO;12,8
09/09/2018;2.2.7 Doces;SORVETES;DINHEIRO;75,8
11/09/2018;2.8 agua, Luz e Aluguel;SABESP;DINHEIRO;46,18
12/09/2018;2.2 Reposicao Estoque;REPO;DINHEIRO;42,01
12/09/2018;2.2.8 Bebidas;REPO;DINHEIRO;57,36
12/09/2018;2.3.4 Outros Descartaveis;REPO;DINHEIRO;18,47
13/09/2018;2.2.1 Carne;CARNE;DINHEIRO;35
13/09/2018;2.2.2 Pao;PaES;DINHEIRO;8
13/09/2018;2.2 Reposicao Estoque;REPO;DINHEIRO;181,4
13/09/2018;2.2.8 Bebidas;REPO;DINHEIRO;70,56
15/09/2018;2.2 Reposicao Estoque;REPO;DINHEIRO;2,29
15/09/2018;2.2.8 Bebidas;REPO;DINHEIRO;217,41
15/09/2018;2.7 Corujao;CORUJaO SALGADOS;DINHEIRO;40,9
15/09/2018;2.7 Corujao;CORUJaO PIZZAS;DINHEIRO;183
16/09/2018;2.2.2 Pao;PaES;DINHEIRO;8
01/09/2018;2.4.2 Diaria Funcionarios;DIARIA YUJI;DINHEIRO;60
06/09/2018;2.8.1 Ambiente e Manutencao;MEDALHAS;DINHEIRO;45
06/09/2018;2.4.2 Diaria Funcionarios;DIARIA NATALIA;DINHEIRO;50
08/09/2018;2.9 Marketing;MARKEting face;DINHEIRO;19,9
13/09/2018;2.4.2 Diaria Funcionarios;DIARIA NATALIA;DINHEIRO;50
13/09/2018;2.9 Marketing;MARKEting face;DINHEIRO;24,4
14/09/2018;2.8.1 Ambiente e Manutencao;MEDALHAS;DINHEIRO;5
15/09/2018;2.2.4 Insumos;VIVO;DINHEIRO;133,74
16/09/2018;2.4.2 Diaria Funcionarios;DIARIA NATALIA;DINHEIRO;50
16/09/2018;2.4.2 Diaria Funcionarios;DIARIA YUJI;DINHEIRO;60
19/09/2018;2.8.1 Ambiente e Manutencao;Cadeado INVESTIMENTO;DINHEIRO;28,9
19/09/2018;2.2.2 Pao;Pao de Hamburguer;DINHEIRO;8
19/09/2018;2.2.9 Outros;Comida;DINHEIRO;70,22
19/09/2018;2.3.4 Outros Descartaveis;Papel Toalha + Saco Tenda;DINHEIRO;3,55
20/09/2018;2.2.2 Pao;Pao de Hamburguer;DINHEIRO;10,4
20/09/2018;2.2.1 Carne;CARNE;DINHEIRO;35
20/09/2018;2.8.1 Ambiente e Manutencao;Comandas;DINHEIRO;5
20/09/2018;2.8.1 Ambiente e Manutencao;Espatula (INVESTIMENTO);DINHEIRO;20,5
20/09/2018;2.8.1 Ambiente e Manutencao;Flanela (Produto de Limpeza);DINHEIRO;6,25
20/09/2018;2.8.1 Ambiente e Manutencao;Prendedor (INVESTIMENTO);DINHEIRO;1,8
20/09/2018;2.2.9 Outros;Comidas;DINHEIRO;155,28
20/09/2018;2.2.2 Pao;Pao de Hamburguer;DINHEIRO;6,4
21/09/2018;2.2.9 Outros;Comidas;DINHEIRO;102,59
22/09/2018;2.2.2 Pao;Pao de Hamburguer;DINHEIRO;8,8
23/09/2018;2.2.7 Doces;SORVETES;DINHEIRO;55
23/09/2018;2.4.2 Diaria Funcionarios;YUDI (Funcionarios);DINHEIRO;60
23/09/2018;2.2.9 Outros;Comidas;DINHEIRO;114,15
23/09/2018;2.2.1 Carne;CARNES;DINHEIRO;35
24/09/2018;2.2.2 Pao;Pao de Hamburguer;DINHEIRO;6,4
25/09/2018;2.2.9 Outros;Comidas;DINHEIRO;100,09
25/09/2018;2.3.4 Outros Descartaveis;descartaveis;DINHEIRO;29,02
26/09/2018;2.2.9 Outros;Comidas;DINHEIRO;59,81
26/09/2018;2.3.4 Outros Descartaveis;descartaveis;DINHEIRO;2,95
28/09/2018;2.2.9 Outros;Comidas;DINHEIRO;12
28/09/2018;2.2.9 Outros;Comidas;DINHEIRO;161,83
29/09/2018;2.4.2 Diaria Funcionarios;Natalia;DINHEIRO;100
29/09/2018;2.4.2 Diaria Funcionarios;Yudi;DINHEIRO;60
29/09/2018;2.8.1 Ambiente e Manutencao;Escritorio;DINHEIRO;33,9
29/09/2018;2.2.7 Doces;Sorvete;DINHEIRO;34,5
30/09/2018;2.2.9 Outros;Comidas;DINHEIRO;12,47
30/09/2018;2.2.9 Outros;Comidas;DINHEIRO;132,52
30/09/2018;2.2.9 Outros;Comidas;DINHEIRO;22,75
30/09/2018;2.2.9 Outros;Comidas;DINHEIRO;30
30/09/2018;2.6.1 Gas de cozinha;Gas e agua;DINHEIRO;78
27/09/2018;2.2.2 Pao;Pao de Hamburguer;DINHEIRO;4,5
27/09/2018;2.9 Marketing;Marketing Ricardo;DINHEIRO;50,7
30/09/2018;2.6.3 Despesas em geral;Reconhecimento de Firma (Will & Rafa);DINHEIRO;50
30/09/2018;2.2.9 Outros;Aluguel referente ao mes de Setembro;DINHEIRO;1100
03/10/2018;2.2.2 Pao;pao de Hamburguer;DINHEIRO;9,6
03/10/2018;2.2.9 Outros;Diversos;DINHEIRO;56,28
03/10/2018;2.2.8 Bebidas;Diversos;DINHEIRO;151,95
04/10/2018;2.3.4 Outros Descartaveis;Espetinhos, papel toalha, glade, limpador;DINHEIRO;26,94
04/10/2018;2.2.1 Carne;Carne;DINHEIRO;35
04/10/2018;2.2.9 Outros;Diversos;DINHEIRO;120,97
04/10/2018;2.2.8 Bebidas;Diversos;DINHEIRO;151,8
04/10/2018;2.2.2 Pao;Pao de Hamburguer;DINHEIRO;4,8
04/10/2018;2.6.2 oleo para Fritadeira;Gordura Vegetal;DINHEIRO;98,9
05/10/2018;2.2.2 Pao;Pao Frances;DINHEIRO;20
05/10/2018;2.2.2 Pao;Pao de Hamburguer;DINHEIRO;16
05/10/2018;2.2.9 Outros;Diversos;DINHEIRO;53,01
05/10/2018;2.2.8 Bebidas;Diversos;DINHEIRO;134,13
05/10/2018;2.3.4 Outros Descartaveis;Papel Toalha;DINHEIRO;11,35
05/10/2018;2.2.9 Outros;Diversos;DINHEIRO;40,01
06/10/2018;2.2.1 Carne;Carne;DINHEIRO;34
06/10/2018;2.2.1 Carne;Frango;DINHEIRO;34
06/10/2018;2.2.2 Pao;Pao de Hamburguer;DINHEIRO;12
06/10/2018;2.2.9 Outros;Diversos;DINHEIRO;123,8
06/10/2018;2.2.8 Bebidas;Diversos;DINHEIRO;103,32
07/10/2018;2.4.2 Diaria Funcionarios;Yudi;DINHEIRO;177,43
07/10/2018;2.2.5 Hortifrut;FEIRA;DINHEIRO;10
07/10/2018;2.2.9 Outros;Diversos;DINHEIRO;74,52
07/10/2018;2.2.8 Bebidas;Diversos;DINHEIRO;47,27
07/10/2018;2.3.4 Outros Descartaveis;Sabonete liquido e detergente;DINHEIRO;34,7
09/10/2018;2.2.2 Pao;Pao de hamburger;DINHEIRO;10
09/10/2018;2.8.1 Ambiente e Manutencao;Adesivos do Naruto;DINHEIRO;5
09/10/2018;2.8.1 Ambiente e Manutencao;Escapula + Nivel Madeira;DINHEIRO;16,7
10/10/2018;2.2.7 Doces;Sorvete;DINHEIRO;41,4
10/10/2018;2.8.1 Ambiente e Manutencao;Espatula com bucha;DINHEIRO;0,6
11/10/2018;2.2.4 Insumos;Palleta;DINHEIRO;33,98
11/10/2018;2.2.4 Insumos;Pao de Hamburger;DINHEIRO;6,4
11/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;47,63
11/10/2018;2.2.4 Insumos;Refri;DINHEIRO;48,93
11/10/2018;2.2.4 Insumos;Espatula com bucha;DINHEIRO;0,75
11/10/2018;2.2.4 Insumos;Colher Sorvete e Mostardeiro;DINHEIRO;43
12/10/2018;2.2.4 Insumos;Pao de Hamburger;DINHEIRO;12
12/10/2018;2.2.4 Insumos;Alface;DINHEIRO;4,98
13/10/2018;2.2.4 Insumos;Palleta;DINHEIRO;34,5
13/10/2018;2.2.4 Insumos;Pao de Hamburger;DINHEIRO;11,2
13/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;153,26
13/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;123,91
13/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;52,04
13/10/2018;2.2.4 Insumos;Carne e frango;DINHEIRO;85
14/10/2018;2.2.4 Insumos;Pao de hamburger;DINHEIRO;8
14/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;17,42
14/10/2018;2.2.4 Insumos;Yudi;DINHEIRO;60
14/10/2018;2.2.4 Insumos;Sal;DINHEIRO;1,99
14/10/2018;2.2.4 Insumos;CORUJaO;DINHEIRO;150
15/10/2018;2.2.4 Insumos;CORUJaO;DINHEIRO;53,53
15/10/2018;2.2.4 Insumos;Internet;DINHEIRO;135,42
15/10/2018;2.2.4 Insumos;agua;DINHEIRO;45,47
16/10/2018;2.2.4 Insumos;Papel Celofane CORUJaO;DINHEIRO;3,2
17/10/2018;2.2.4 Insumos;Pao Frances;DINHEIRO;8
17/10/2018;2.2.4 Insumos;CORUJaO;DINHEIRO;5
17/10/2018;2.2.4 Insumos;Refri CORUJaO;DINHEIRO;51,99
17/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;40,48
17/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;71,1
17/10/2018;2.2.4 Insumos;Fl. Aluminio;DINHEIRO;2,8
18/10/2018;2.2.4 Insumos;Pao de hambuguer;DINHEIRO;4
18/10/2018;2.2.4 Insumos;Estacionamento;DINHEIRO;15
18/10/2018;2.2.4 Insumos;Sorvetes e Palletas;DINHEIRO;85
18/10/2018;2.2.4 Insumos;Minhocas e Corantes CORUJaO;DINHEIRO;11,33
18/10/2018;2.2.4 Insumos;Diversos CORUJaO;DINHEIRO;171,04
18/10/2018;2.2.4 Insumos;Refri e Vodka CORUJaO;DINHEIRO;47,43
18/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;35,28
18/10/2018;2.2.4 Insumos;Diversos CORUJaO;DINHEIRO;52,01
18/10/2018;2.2.4 Insumos;Choc. Sensacao;DINHEIRO;36,5
18/10/2018;2.2.4 Insumos;Raul (2 semanas);DINHEIRO;120
18/10/2018;2.2.4 Insumos;Vale das Festas CORUJaO;DINHEIRO;38
19/10/2018;2.2.4 Insumos;Tomate CORUJaO;DINHEIRO;11,33
19/10/2018;2.2.4 Insumos;Pao Metro CORUJaO;DINHEIRO;72
19/10/2018;2.2.4 Insumos;Pao de Hamburguer + Queijo;DINHEIRO;17,7
20/10/2018;2.2.4 Insumos;Pao carequinha CORUJaO;DINHEIRO;20
20/10/2018;2.2.4 Insumos;Yudi;DINHEIRO;74
21/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;34,7
21/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;33,36
23/10/2018;2.2.4 Insumos;Mini Salgado Reuniao;DINHEIRO;13,11
24/10/2018;2.2.4 Insumos;Pao Frances;DINHEIRO;17,2
24/10/2018;2.2.4 Insumos;Gasolina;DINHEIRO;7,39
24/10/2018;2.2.4 Insumos;Carne;DINHEIRO;35,7
24/10/2018;2.2.4 Insumos;Gas e agua;DINHEIRO;83
24/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;136,83
24/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;173,91
24/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;32,58
26/10/2018;2.2.4 Insumos;Batata Palha;DINHEIRO;24,56
26/10/2018;2.2.4 Insumos;Combustível;DINHEIRO;30
27/10/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;8
28/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;43,89
28/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;41,1
29/10/2018;2.2.4 Insumos;Lemon Pepper;DINHEIRO;57,97
31/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;95,43
31/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;136,3
31/10/2018;2.2.4 Insumos;Diversos;DINHEIRO;34,68
31/10/2018;2.2.4 Insumos;Combustível;DINHEIRO;30
31/10/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;12
31/10/2018;2.2.4 Insumos;Comemoracao Gordo Grill;DINHEIRO;110,8
31/10/2018;2.2.4 Insumos;Reconhecimento de Firma;DINHEIRO;37,2
31/10/2018;2.2.4 Insumos;Palleta;DINHEIRO;46
31/10/2018;2.2.4 Insumos;Carne e alface;DINHEIRO;21
31/10/2018;2.2.4 Insumos;Coca cola;DINHEIRO;12,54
31/10/2018;2.2.4 Insumos;Conta de Luz do mes de Outubro;DINHEIRO;235,91
31/10/2018;2.2.4 Insumos;Aluguel referente ao mes de Outubro;DINHEIRO;1188,6
01/11/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;8,8
01/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;117,12
01/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;205,9
01/11/2018;2.2.4 Insumos;agua Sanitaria;DINHEIRO;1,49
01/11/2018;2.2.4 Insumos;Carne e Frango;DINHEIRO;79
02/11/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;25,6
02/11/2018;2.2.4 Insumos;Refri e Cerveja;DINHEIRO;73,71
02/11/2018;2.2.4 Insumos;Alface;DINHEIRO;4,19
02/11/2018;2.2.4 Insumos;Natalia;DINHEIRO;25
03/11/2018;2.2.4 Insumos;Carne;DINHEIRO;14,77
03/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;154,91
03/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;36,7
04/11/2018;2.2.4 Insumos;Coca Cola;DINHEIRO;50,16
04/11/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;4,8
04/11/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;5,6
04/11/2018;2.2.4 Insumos;Parcela 1/3 Jogos Joao Pedro;DINHEIRO;335
07/11/2018;2.2.4 Insumos;Carne;DINHEIRO;36
07/11/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;12
07/11/2018;2.2.4 Insumos;Suco de uva e coca cola;DINHEIRO;38,64
07/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;77,59
07/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;55,18
08/11/2018;2.2.4 Insumos;Paletas;DINHEIRO;48,3
09/11/2018;2.2.4 Insumos;Galao de agua;DINHEIRO;11
10/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;42,84
10/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;59,85
11/11/2018;2.2.4 Insumos;Carnes;DINHEIRO;40,93
11/11/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;9,6
11/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;60,7
12/11/2018;2.2.4 Insumos;Referente ao mes de Outubro;DINHEIRO;35,47
12/11/2018;2.2.4 Insumos;Vivo novembro;DINHEIRO;132,46
14/11/2018;2.2.4 Insumos;Carne;DINHEIRO;37
14/11/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;16,8
14/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;191,46
14/11/2018;2.2.4 Insumos;Guardanapo e Espetinhos;DINHEIRO;41,5
14/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;72,07
14/11/2018;2.2.4 Insumos;Cartolinas;DINHEIRO;9
15/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;62,28
15/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;39,5
15/11/2018;2.2.4 Insumos;Gelo;DINHEIRO;10
15/11/2018;2.2.4 Insumos;Mini Salgados;DINHEIRO;80,25
16/11/2018;2.2.4 Insumos;Gasolina;DINHEIRO;30
16/11/2018;2.2.4 Insumos;Bolo Salgado;DINHEIRO;57,19
16/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;60,84
16/11/2018;2.2.4 Insumos;Pratinhos e Garfinhos;DINHEIRO;13,3
16/11/2018;2.2.4 Insumos;Choc. Sensacao e Kitkat;DINHEIRO;85,69
16/11/2018;2.2.4 Insumos;Raid Veneno;DINHEIRO;9,99
16/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;107,7
16/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;105,89
17/11/2018;2.2.4 Insumos;Pan Cake Maquiagem;DINHEIRO;39,9
17/11/2018;2.2.4 Insumos;Bolo Doce;DINHEIRO;80
17/11/2018;2.2.4 Insumos;Sorvete;DINHEIRO;48,3
17/11/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;8,8
17/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;51,79
17/11/2018;2.2.4 Insumos;Brigadeiros;DINHEIRO;52
17/11/2018;2.2.4 Insumos;Refri;DINHEIRO;8,48
17/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;67,02
17/11/2018;2.2.4 Insumos;Bexigas;DINHEIRO;49
17/11/2018;2.2.4 Insumos;Yudi;DINHEIRO;60
17/11/2018;2.2.4 Insumos;Fabiano Canecas;DINHEIRO;99,5
19/11/2018;2.2.4 Insumos;Posto gasolina;DINHEIRO;30
19/11/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;4
19/11/2018;2.2.4 Insumos;Linguica;DINHEIRO;37,9
19/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;113,32
19/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;168,72
21/11/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;8
21/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;27,55
21/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;47,97
21/11/2018;2.2.4 Insumos;Bobina;DINHEIRO;11,9
22/11/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;9,6
23/11/2018;2.2.4 Insumos;agua Lindoya;DINHEIRO;11
23/11/2018;2.2.4 Insumos;Carne e Frango;DINHEIRO;97
23/11/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;11,2
23/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;78,9
23/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;130,73
24/11/2018;2.2.4 Insumos;Carne;DINHEIRO;35
24/11/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;12,8
25/11/2018;2.2.4 Insumos;Alface;DINHEIRO;6,98
27/11/2018;2.2.4 Insumos;Referente ao mes de Novembro;DINHEIRO;1199,49
27/11/2018;2.2.4 Insumos;Referente ao mes de Novembro;DINHEIRO;178,03
28/11/2018;2.2.4 Insumos;Pimenta;DINHEIRO;20
28/11/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;6,4
29/11/2018;2.2.4 Insumos;Estacionamento;DINHEIRO;5
29/11/2018;2.2.4 Insumos;MJ Corneta Taubate;DINHEIRO;34
29/11/2018;2.2.4 Insumos;Paletas e sorvete;DINHEIRO;73,5
29/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;135,46
29/11/2018;2.2.4 Insumos;Diversos;DINHEIRO;138,7
29/11/2018;2.2.4 Insumos;Papel toalha;DINHEIRO;12,29
29/11/2018;2.2.4 Insumos;Combustível;DINHEIRO;30
29/11/2018;2.2.4 Insumos;Pao de haburguer + Pao de Hotdog;DINHEIRO;16,8
30/11/2018;2.2.4 Insumos;Sacola institucional;DINHEIRO;0,2
30/11/2018;2.2.4 Insumos;Cerveja Heineken;DINHEIRO;50,28
01/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;77,96
01/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;132,74
01/12/2018;2.2.4 Insumos;Copos;DINHEIRO;8,48
01/12/2018;2.2.4 Insumos;Sorvete;DINHEIRO;62,1
01/12/2018;2.2.4 Insumos;Solda portao;DINHEIRO;30
01/12/2018;2.2.4 Insumos;Guiherme;DINHEIRO;60
01/12/2018;2.2.4 Insumos;Yudi;DINHEIRO;46,5
01/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;114,09
01/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;119,28
01/12/2018;2.2.4 Insumos;Toalha de Papel;DINHEIRO;2,99
02/12/2018;2.2.4 Insumos;Estacionamento;DINHEIRO;7
02/12/2018;2.2.4 Insumos;Palestas;DINHEIRO;59,8
02/12/2018;2.2.4 Insumos;Energetico;DINHEIRO;4,49
02/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;28,95
03/12/2018;2.2.4 Insumos;Guirlanda de Natal;DINHEIRO;20
03/12/2018;2.2.4 Insumos;Festao;DINHEIRO;40
03/12/2018;2.2.4 Insumos;Gorro Papai Noel;DINHEIRO;24
03/12/2018;2.2.4 Insumos;Pisca Pisca e Lacos;DINHEIRO;78,88
05/12/2018;2.2.4 Insumos;Carne;DINHEIRO;34,3
05/12/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;8
05/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;126,33
05/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;218,98
05/12/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;8
06/12/2018;2.2.4 Insumos;Gas;DINHEIRO;75
06/12/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;16
06/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;55,86
06/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;126,88
06/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;9,97
06/12/2018;2.2.4 Insumos;Referente ao mes de Novembro;DINHEIRO;45,27
08/12/2018;2.2.4 Insumos;Yudi;DINHEIRO;53
08/12/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;20,96
08/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;50,16
08/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;86,25
12/12/2018;2.2.4 Insumos;Carne;DINHEIRO;34,5
12/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;77,76
12/12/2018;2.2.4 Insumos;Saco de Lixo;DINHEIRO;3,9
12/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;4,4
12/12/2018;2.2.4 Insumos;Bruno mao de obra;DINHEIRO;68
12/12/2018;2.2.4 Insumos;Combustível;DINHEIRO;30
12/12/2018;2.2.4 Insumos;Estacionamento;DINHEIRO;7
12/12/2018;2.2.4 Insumos;Frango;DINHEIRO;20
12/12/2018;2.2.4 Insumos;Galao de agua;DINHEIRO;11
13/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;79,77
13/12/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;14,4
13/12/2018;2.2.4 Insumos;canapes;DINHEIRO;35
13/12/2018;2.2.4 Insumos;Brigadeiro;DINHEIRO;12
13/12/2018;2.2.4 Insumos;Frango;DINHEIRO;10
14/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;106,87
14/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;65,16
14/12/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;4
15/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;105,74
15/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;108,94
15/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;8,48
15/12/2018;2.2.4 Insumos;Yudi;DINHEIRO;86,72
19/12/2018;2.2.4 Insumos;Carne;DINHEIRO;42
19/12/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;8
19/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;167,04
19/12/2018;2.2.4 Insumos;Parcela 2/3 Jogos Joao Pedro;DINHEIRO;333,33
20/12/2018;2.2.4 Insumos;Sorvetes e Palletas;DINHEIRO;87,3
20/12/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;26,88
20/12/2018;2.2.4 Insumos;Combustível;DINHEIRO;30
20/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;5,5
20/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;138,2
20/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;257,34
20/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;14,69
21/12/2018;2.2.4 Insumos;Carne;DINHEIRO;34,34
21/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;38,7
21/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;158,7
21/12/2018;2.2.4 Insumos;Arroz;DINHEIRO;4,38
22/12/2018;2.2.4 Insumos;Alho e Sal;DINHEIRO;9,05
22/12/2018;2.2.4 Insumos;Maionese;DINHEIRO;50
22/12/2018;2.2.4 Insumos;Gelo;DINHEIRO;10
26/12/2018;2.2.4 Insumos;Carnes;DINHEIRO;35,5
26/12/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;16
26/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;84,41
26/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;82,9
26/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;12,55
26/12/2018;2.2.4 Insumos;Referente ao mes de dezembro;DINHEIRO;1100
27/12/2018;2.2.4 Insumos;Referente a leitura do dia 13/12;DINHEIRO;342,67
27/12/2018;2.2.4 Insumos;Copos de Caveira;DINHEIRO;29,7
27/12/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;9,6
27/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;28
27/12/2018;2.2.4 Insumos;Coca cola;DINHEIRO;82,44
29/12/2018;2.2.4 Insumos;Carnes;DINHEIRO;35
15/12/2018;2.2.4 Insumos;Bacon;DINHEIRO;55,91
15/12/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;8
15/12/2018;2.2.4 Insumos;Palleta;DINHEIRO;82,8
15/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;104,17
15/12/2018;2.2.4 Insumos;Polpa;DINHEIRO;12
15/12/2018;2.2.4 Insumos;Diversos;DINHEIRO;26,69
15/12/2018;2.2.4 Insumos;Pao de Hamburguer;DINHEIRO;15,76
