Data;Classificacao;Descricao;Meio;Valor
06/12/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;9,25
06/12/2017;2.2.5 Hortifrut;tomate;DINHEIRO;1,19
06/12/2017;2.3.4 Outros Descartaveis;papel toalha;DINHEIRO;2,59
07/12/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;5,9
07/12/2017;2.2.1 Carne;BACON;DINHEIRO;4,89
03/12/2017;2.6.3 Despesas em geral;ANIME FRIEND COMIDA RODRIGO;DINHEIRO;15
08/12/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;9,15
08/12/2017;2.2.1 Carne;BACON;DINHEIRO;22,6
08/12/2017;2.2.8 Bebidas;suco;DINHEIRO;21,48
08/12/2017;2.2.6 Laticínios;mussarela;DINHEIRO;12,28
08/12/2017;2.2.1 Carne;carne ham;DINHEIRO;42
08/12/2017;2.2.8 Bebidas;coca e guarana;DINHEIRO;48,96
08/12/2017;2.2.5 Hortifrut;batata;DINHEIRO;10,48
12/12/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;12,45
12/12/2017;2.2.5 Hortifrut;alface mussarela;DINHEIRO;14,6
12/12/2017;2.2.5 Hortifrut;batata bacon cebola tomate;DINHEIRO;42,93
10/12/2017;2.8 agua, Luz e Aluguel;sabesp;DINHEIRO;42,49
13/12/2017;2.9 Marketing;marketing face;DINHEIRO;19,9
14/12/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;8,88
14/12/2017;2.2.1 Carne;coisas para ham;DINHEIRO;8,19
14/12/2017;2.9 Marketing;marketing face;DINHEIRO;25,8
16/12/2017;2.2.4 Insumos;limon piper;DINHEIRO;31
16/12/2017;2.2.8 Bebidas;coca e guarana;DINHEIRO;52
15/12/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;4,78
16/12/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;6,39
16/12/2017;2.2.4 Insumos;vivo;DINHEIRO;124,98
16/12/2017;2.9 Marketing;marketing face;DINHEIRO;4,5
20/12/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;7,25
20/12/2017;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;60,39
20/12/2017;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;124,32
20/12/2017;2.3.4 Outros Descartaveis;guardanapos;DINHEIRO;3,45
20/12/2017;2.2.1 Carne;carne ham;DINHEIRO;44,9
20/12/2017;2.2.8 Bebidas;chopp;DINHEIRO;90
23/12/2017;2.8 agua, Luz e Aluguel;aluguel dezembro;DINHEIRO;1000
27/12/2017;2.8 agua, Luz e Aluguel;luz dezembro;DINHEIRO;187,23
14/12/2017;2.8.1 Ambiente e Manutencao;ferramentas;DINHEIRO;28,9
23/12/2017;2.9 Marketing;marketing face;DINHEIRO;39,7
21/12/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;7,35
22/12/2017;2.2.5 Hortifrut;batata;DINHEIRO;29,7
22/12/2017;2.2.5 Hortifrut;tomate;DINHEIRO;2,55
22/12/2017;2.2.8 Bebidas;coca e guarana;DINHEIRO;50,16
23/12/2017;2.9 Marketing;marketing face;DINHEIRO;39,7
27/12/2017;2.9 Marketing;marketing face;DINHEIRO;60,8
28/12/2017;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;129,36
28/12/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;17,45
28/12/2017;2.4.1 Combustível;gazolina;DINHEIRO;20
28/12/2017;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;123,68
29/12/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;17
29/12/2017;2.2.8 Bebidas;;DINHEIRO;59,69
29/12/2017;2.2.9 Outros;;DINHEIRO;31,2
29/12/2017;2.6.3 Despesas em geral;dicico;DINHEIRO;4,91
30/12/2017;2.2.2 Pao;paes para cozinha;DINHEIRO;9
30/12/2017;2.2.9 Outros;;DINHEIRO;21
30/12/2017;2.2.8 Bebidas;;DINHEIRO;38,14
30/12/2017;2.2.9 Outros;;DINHEIRO;71
29/12/2017;2.8.2 Tarifas Bancarias;tarifa cartao;DINHEIRO;38,73
04/01/2018;2.2.2 Pao;paes para cozinha;DINHEIRO;8
05/01/2018;2.2.2 Pao;paes para cozinha;DINHEIRO;6,4
05/01/2018;2.9 Marketing;marketing face;DINHEIRO;41,2
04/01/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;101,24
04/01/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;98,82
01/01/2018;2.5 Compra de Jogos;JOgos iniciais 3/12;DINHEIRO;171,13
01/01/2018;2.2.8 Bebidas;chopp;DINHEIRO;240
01/01/2018;2.2.8 Bebidas;HIDROMEL;DINHEIRO;240
15/01/2018;2.8 agua, Luz e Aluguel;sabesp;DINHEIRO;43,73
24/01/2018;2.8 agua, Luz e Aluguel;Janeiro;DINHEIRO;1000
04/01/2018;2.8.1 Ambiente e Manutencao;LIMPESA;DINHEIRO;31,75
06/01/2018;2.2.2 Pao;paes para cozinha;DINHEIRO;4,75
06/01/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;34,78
06/01/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;36,12
15/01/2018;2.2.4 Insumos;vivo;DINHEIRO;127,59
05/01/2018;2.2.5 Hortifrut;alface mussarela;DINHEIRO;18,98
09/01/2018;2.2.1 Carne;carne ham;DINHEIRO;39,47
09/01/2018;2.2.8 Bebidas;refri;DINHEIRO;49,68
07/01/2018;2.2.2 Pao;paes para cozinha;DINHEIRO;4,99
06/01/2018;2.2.8 Bebidas;cerveja;DINHEIRO;28,2
10/01/2018;2.2.2 Pao;paes para cozinha;DINHEIRO;6,59
07/01/2018;2.2.5 Hortifrut;bonbon batata bacon vinagre;DINHEIRO;80,65
09/01/2018;2.2.8 Bebidas;cerveja;DINHEIRO;28,2
09/01/2018;2.2.5 Hortifrut;batata bacon tomate;DINHEIRO;26,84
14/01/2018;2.2.5 Hortifrut;tomate barbecue cebola;DINHEIRO;21,94
14/01/2018;2.2.8 Bebidas;skol;DINHEIRO;28,2
13/01/2018;2.2.2 Pao;paes para cozinha;DINHEIRO;18,36
12/01/2018;2.2.5 Hortifrut;batata e oleo;DINHEIRO;30,85
12/01/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;96,96
13/01/2018;2.2.1 Carne;carne ham;DINHEIRO;46
12/01/2018;2.2.2 Pao;paes para cozinha;DINHEIRO;8,87
14/01/2018;2.2.2 Pao;mussarela e paes;DINHEIRO;13
14/01/2018;2.2.8 Bebidas;refri;DINHEIRO;49,68
14/01/2018;2.6.2 oleo para Fritadeira;BACON oleo;DINHEIRO;6,44
14/01/2018;2.3.4 Outros Descartaveis;papel toalha;DINHEIRO;2,49
13/01/2018;2.7 Corujao;comidas corujao;DINHEIRO;49,03
13/01/2018;2.7 Corujao;bebidas corujao;DINHEIRO;49,51
13/01/2018;2.7 Corujao;comidas corujao 1,99;DINHEIRO;25
13/01/2018;2.7 Corujao;gazolina corujao;DINHEIRO;20
13/01/2018;2.7 Corujao;pizza corujao;DINHEIRO;80
13/01/2018;2.7 Corujao;pao corujao;DINHEIRO;30
26/01/2018;2.8 agua, Luz e Aluguel;energia;DINHEIRO;157,5
11/01/2018;2.3.4 Outros Descartaveis;papel toalha;DINHEIRO;3,19
16/01/2018;2.2.5 Hortifrut;batata;DINHEIRO;26,7
13/01/2018;2.7 Corujao;gastos diversos com corujao;DINHEIRO;38,1
17/01/2018;2.2.2 Pao;paes para cozinha;DINHEIRO;8
17/01/2018;2.2.1 Carne;gordura vegetal e bacon;DINHEIRO;126,01
17/01/2018;2.2.5 Hortifrut;alface;DINHEIRO;3,36
17/01/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;66,88
13/01/2018;2.9 Marketing;marketing face;DINHEIRO;19,9
17/01/2018;2.9 Marketing;marketing face;DINHEIRO;7,9
18/01/2018;2.2.2 Pao;paes para cozinha;DINHEIRO;6,4
18/01/2018;2.4.2 Diaria Funcionarios;diaria nathi;DINHEIRO;50
18/01/2018;2.2 Reposicao Estoque;REPOSIcaO DE ESTOQUE;DINHEIRO;33,3
18/01/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;36,98
18/01/2018;2.8.1 Ambiente e Manutencao;LIMPESA;DINHEIRO;37,08
18/01/2018;2.2.4 Insumos;fumaca liquida;DINHEIRO;36,99
18/01/2018;2.5 Compra de Jogos;war;DINHEIRO;30
19/01/2018;2.2.2 Pao;mussarela e paes;DINHEIRO;16,95
19/01/2018;2.9 Marketing;marketing face;DINHEIRO;10,4
19/01/2018;2.2.8 Bebidas;REPOSIcaO DE ESTOQUE;DINHEIRO;60,6
20/01/2018;2.6.1 Gas de cozinha;gaz;DINHEIRO;60
20/01/2018;2.2.2 Pao;paes para cozinha;DINHEIRO;10
20/01/2018;2.4.1 Combustível;gazolina rodrigo;DINHEIRO;15
